Armchair Antarctica Point Data (WGS84),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Latitude,Longitude,Parent ID,Type,Label,URL,Logo/Profile URL,Our Icon,Established or Event Date,Associated Text,Source,Source Main Site,Licensing,Notes,Jurisdiction
-77.55,166.15,75,Station,Cape Royds - Discovery Expedition 1901-1904,http://en.wikipedia.org/wiki/Cape_Royds,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,expedition.gif,1901,,,,,,
-77.529722,167.153333,71,Station,Mount Erebus Volcano Webcam,http://en.wikipedia.org/wiki/Mount_Erebus,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,webcam.gif,,,,,,,
-77.5,168,89,Station,Average Adelie,http://en.wikipedia.org/wiki/Ad%C3%A9lie_Penguin,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,penguin.gif,,,,,,,
-77.316944,39.703333,17,Station,Dome Fuji Station,http://en.wikipedia.org/wiki/Dome_F,http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,station.gif,1995,,,,,, Japan
-77,150,83,Station,Farthest South: Discovery Expedition 1901-04 (Scott),http://en.wikipedia.org/wiki/Discovery_Expedition,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,expedition.gif,1901,,,,,,
-75.916667,-83.916667,61,Station,Siple Station,http://en.wikipedia.org/wiki/Siple_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,station.gif,1973,,,,,, United States
-75.583333,-26.566667,24,Station,Halley Research Station,http://en.wikipedia.org/wiki/Halley_Research_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,station.gif,1956,,,,,, United Kingdom
-75.166667,-100,88,Station,Pine Island Glacier,http://en.wikipedia.org/wiki/Pine_Island_Glacier,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,geo.gif,,,,,,,
-75.1,123.333333,15,Station,Concordia Station,http://en.wikipedia.org/wiki/Concordia_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,station.gif,2005,,,,,, France / Italy
-75,0.066667,30,Station,Kohnen-Station,http://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica#Kohnen_Station.2C_Queen_Maud_Land,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,station.gif,2001,,,,,,Germany
-74.766667,-136.866667,54,Station,Russkaya Station,http://en.wikipedia.org/wiki/Russkaya_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1980,,,,,, Russia
-74.694417,164.112917,38,Station,Mario Zucchelli Station,http://en.wikipedia.org/wiki/Zucchelli_Station,http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/125px-Flag_of_Italy.svg.png,station.gif,1986,,,,,, Italy
-74.583333,-11.216667,62,Station,Svea Research Station,https://www.comnap.aq/Members/SPR/SitePages/Home.aspx,http://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/125px-Flag_of_Sweden.svg.png,station.gif,1988,,,,,,Sweden
-73.05,-13.416667,1,Station,Aboa,http://en.wikipedia.org/wiki/Aboa_(research_station),http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/125px-Flag_of_Finland.svg.png,station.gif,1988,,,,,,Finland
-73.05,-13.416667,66,Station,Wasa Research Station,http://en.wikipedia.org/wiki/Queen_Maud_Land,http://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/125px-Flag_of_Sweden.svg.png,station.gif,1989,,,,,,Sweden
